Date,tirupati rooms,tirupati temple history,venkateswara yt,venkateswara swamy,tirupati darshan timings,tirumala,train to tirupati,tirupati,tirupati train,kanipakam,tirupati distance,kalahasti,ttd,Pilgrims
20-10-2013,21,22,59,16,32,49,72,42,51,35,36,60,8,367700
27-10-2013,16,30,58,15,24,50,81,42,53,40,34,46,9,363223
03-11-2013,9,0,49,12,34,63,89,45,61,38,42,53,11,425182
10-11-2013,19,0,31,19,0,60,72,45,55,32,36,72,13,406690
17-11-2013,24,0,41,16,24,58,81,45,53,31,53,74,13,378546
24-11-2013,36,33,66,15,69,57,75,47,53,42,50,70,11,378180
01-12-2013,25,0,53,24,66,55,83,50,55,41,53,60,10,397085
08-12-2013,21,0,69,17,36,51,74,41,55,32,39,46,10,410901
15-12-2013,27,37,66,20,16,48,62,41,50,36,33,48,9,390455
22-12-2013,18,0,58,16,36,48,64,43,47,37,45,69,9,442936
29-12-2013,6,23,67,19,21,42,56,38,46,29,34,55,10,403850
05-01-2014,27,20,83,22,53,57,67,40,50,37,40,36,10,370075
12-01-2014,28,0,69,12,43,47,54,36,42,43,36,39,8,466729
19-01-2014,17,30,84,8,0,44,55,39,42,31,41,44,8,413998
26-01-2014,13,18,53,16,83,47,62,39,49,30,36,39,9,365547
02-02-2014,24,52,51,10,18,44,77,37,51,28,34,42,8,370696
09-02-2014,30,25,47,16,16,38,59,34,38,30,36,43,8,384652
16-02-2014,16,0,41,13,27,43,57,38,42,20,39,49,7,413589
23-02-2014,23,45,57,12,0,43,60,42,52,31,49,62,7,443695
02-03-2014,25,0,63,15,30,49,71,41,51,25,37,51,8,422206
09-03-2014,20,0,67,15,42,45,71,42,63,22,47,52,8,412467
16-03-2014,23,27,48,13,38,52,62,43,55,31,39,50,8,427151
23-03-2014,18,15,67,11,49,47,57,40,51,31,36,30,8,411343
30-03-2014,12,0,42,13,21,42,61,39,49,21,37,35,8,412715
06-04-2014,0,0,41,14,51,42,67,40,54,30,34,55,8,399445
13-04-2014,33,0,42,13,34,39,67,39,50,23,39,49,8,450238
20-04-2014,15,48,44,11,58,44,69,38,53,21,30,50,7,420318
27-04-2014,27,36,31,9,0,40,62,41,59,26,39,58,7,454033
04-05-2014,9,49,25,11,37,37,85,39,54,36,38,49,7,447846
11-05-2014,18,0,31,11,16,37,67,39,69,23,32,56,7,479584
18-05-2014,23,36,23,15,32,39,72,42,64,21,42,47,8,471128
25-05-2014,9,0,28,15,27,39,77,40,55,18,34,40,7,477237
01-06-2014,22,0,57,12,76,45,78,44,58,31,36,42,8,465272
